clothing_path,shoe_path,response
../data/clothing2/train/black_short_dresses/black_short_dresses190.jpg,../data/shoes/train/heels/8113201.69035.jpg,0
../data/clothing2/train/light_blue_short_dresses/light_blue_short_dresses79.jpg,../data/shoes/train/athletic/8140605.151.jpg,0
../data/clothing2/train/brown_suede_jackets/brown_suede_jackets182.jpg,../data/shoes/train/knee_boots/7347958.281.jpg,0
../data/clothing2/validate/long_sleeve_tops/long_sleeve_tops242.jpg,../data/shoes/train/ankle_boots/8112971.72.jpg,1
../data/clothing2/train/white_pants/white_pants162.jpg,../data/shoes/test/sandals/7505095.6.jpg,1
../data/clothing2/train/spring_floral_dresses/spring_floral_dresses104.jpg,../data/shoes/train/sandals/8081068.4535.jpg,0
../data/clothing2/validate/white_short_dresses/white_short_dresses144.jpg,../data/shoes/train/athletic/8164765.32.jpg,0
../data/clothing2/validate/royal_blue_short_dresses/royal_blue_short_dresses252.jpg,../data/shoes/train/ankle_boots/7999090.39286.jpg,0
../data/clothing2/test/red_short_dresses/red_short_dresses115.jpg,../data/shoes/train/athletic/8042483.110899.jpg,0
../data/clothing2/test/light_blue_short_dresses/light_blue_short_dresses142.jpg,../data/shoes/train/heels/8113574.18265.jpg,0
../data/clothing2/train/brown_suede_jackets/brown_suede_jackets92.jpg,../data/shoes/train/heels/8128731.9.jpg,0
../data/clothing2/train/royal_blue_short_dresses/royal_blue_short_dresses51.jpg,../data/shoes/test/flats/7938744.3.jpg,0
../data/clothing2/train/long_sleeve_tops/long_sleeve_tops128.jpg,../data/shoes/train/ankle_boots/8034808.3.jpg,1
../data/clothing2/test/white_short_dresses/white_short_dresses21.jpg,../data/shoes/train/slippers/7578704.278.jpg,0
../data/clothing2/train/skinny_blue_jeans/skinny_blue_jeans60.jpg,../data/shoes/test/sandals/7934607.340935.jpg,0
../data/clothing2/train/khaki_pants/khaki_pants107.jpg,../data/shoes/train/heels/7876582.14.jpg,0
../data/clothing2/train/white_pants/white_pants72.jpg,../data/shoes/validate/heels/8024127.3039.jpg,1
../data/clothing2/train/royal_blue_short_dresses/royal_blue_short_dresses226.jpg,../data/shoes/train/heels/8025886.3.jpg,0
../data/clothing2/test/light_blue_short_dresses/light_blue_short_dresses38.jpg,../data/shoes/train/knee_boots/8064890.3.jpg,0
../data/clothing2/train/black_skinny_jeans/black_skinny_jeans9.jpg,../data/shoes/train/ankle_boots/8037318.72.jpg,1
../data/clothing2/train/long_sleeve_tops/long_sleeve_tops76.jpg,../data/shoes/train/sandals/7956339.3.jpg,1
../data/clothing2/train/light_blue_short_dresses/light_blue_short_dresses77.jpg,../data/shoes/train/sandals/8072022.151.jpg,0
../data/clothing2/train/white_pants/white_pants82.jpg,../data/shoes/train/heels/7993451.242456.jpg,1
../data/clothing2/validate/black_skinny_jeans/black_skinny_jeans20.jpg,../data/shoes/train/flats/7977421.191487.jpg,0
../data/clothing2/train/black_skinny_jeans/black_skinny_jeans187.jpg,../data/shoes/train/sandals/8088813.72.jpg,1
../data/clothing2/train/light_blue_short_dresses/light_blue_short_dresses215.jpg,../data/shoes/test/sandals/7919429.358857.jpg,1
../data/clothing2/train/royal_blue_short_dresses/royal_blue_short_dresses57.jpg,../data/shoes/train/calf_boots/8012714.3.jpg,0
../data/clothing2/train/white_pants/white_pants109.jpg,../data/shoes/train/heels/7777410.409340.jpg,1
../data/clothing2/train/brown_suede_jackets/brown_suede_jackets19.jpg,../data/shoes/train/heels/8138992.26168.jpg,0
../data/clothing2/train/running_shorts/running_shorts27.jpg,../data/shoes/train/sandals/7966529.594.jpg,0
../data/clothing2/train/white_pants/white_pants155.jpg,../data/shoes/train/heels/8128093.15197.jpg,0
../data/clothing2/test/khaki_pants/khaki_pants20.jpg,../data/shoes/train/heels/7534148.106046.jpg,1
../data/clothing2/train/black_blazer/black_blazer187.jpg,../data/shoes/train/athletic/7166071.72533.jpg,0
../data/clothing2/train/skinny_blue_jeans/skinny_blue_jeans137.jpg,../data/shoes/train/ankle_boots/8049041.423.jpg,1
../data/clothing2/train/running_shorts/running_shorts50.jpg,../data/shoes/test/sandals/8025067.418.jpg,0
../data/clothing2/train/white_short_dresses/white_short_dresses0.jpg,../data/shoes/test/heels/8029320.554.jpg,0
../data/clothing2/train/spring_floral_dresses/spring_floral_dresses27.jpg,../data/shoes/test/athletic/7335579.304.jpg,0
../data/clothing2/train/brown_suede_jackets/brown_suede_jackets220.jpg,../data/shoes/train/sandals/7910089.89.jpg,0
../data/clothing2/test/royal_blue_short_dresses/royal_blue_short_dresses188.jpg,../data/shoes/train/flats/7594364.1141.jpg,0
../data/clothing2/train/white_short_dresses/white_short_dresses57.jpg,../data/shoes/train/ankle_boots/7999056.158492.jpg,1
../data/clothing2/train/white_short_dresses/white_short_dresses136.jpg,../data/shoes/test/knee_boots/8014963.401.jpg,0
../data/clothing2/train/long_sleeve_tops/long_sleeve_tops118.jpg,../data/shoes/train/calf_boots/7559842.238499.jpg,1
../data/clothing2/train/black_blazer/black_blazer1.jpg,../data/shoes/train/heels/7706558.14.jpg,0
../data/clothing2/train/brown_suede_jackets/brown_suede_jackets72.jpg,../data/shoes/train/athletic/7886313.10623.jpg,0
../data/clothing2/train/white_pants/white_pants103.jpg,../data/shoes/train/ankle_boots/7839285.632.jpg,0
../data/clothing2/train/brown_suede_jackets/brown_suede_jackets91.jpg,../data/shoes/train/heels/7879695.208905.jpg,0
../data/clothing2/test/black_blazer/black_blazer60.jpg,../data/shoes/train/sandals/7726704.9982.jpg,0
../data/clothing2/train/white_pants/white_pants70.jpg,../data/shoes/validate/sandals/7788849.14.jpg,1
../data/clothing2/train/black_blazer/black_blazer176.jpg,../data/shoes/train/ankle_boots/8013854.652.jpg,0
../data/clothing2/train/black_blazer/black_blazer176.jpg,../data/shoes/test/ankle_boots/7969529.22913.jpg,1
../data/clothing2/train/black_blazer/black_blazer91.jpg,../data/shoes/validate/ankle_boots/8032959.3.jpg,1
../data/clothing2/train/black_blazer/black_blazer85.jpg,../data/shoes/train/ankle_boots/7970216.364950.jpg,0
../data/clothing2/train/black_blazer/black_blazer85.jpg,../data/shoes/train/ankle_boots/7997740.325.jpg,0
../data/clothing2/train/black_blazer/black_blazer85.jpg,../data/shoes/train/ankle_boots/8089192.3.jpg,1
../data/clothing2/train/black_blazer/black_blazer53.jpg,../data/shoes/train/ankle_boots/8080070.632.jpg,0
../data/clothing2/train/black_blazer/black_blazer53.jpg,../data/shoes/validate/ankle_boots/7988271.359934.jpg,0
../data/clothing2/train/black_blazer/black_blazer53.jpg,../data/shoes/train/ankle_boots/8038668.3.jpg,1
../data/clothing2/train/black_blazer/black_blazer177.jpg,../data/shoes/train/ankle_boots/7950345.1912.jpg,0
../data/clothing2/train/black_blazer/black_blazer177.jpg,../data/shoes/train/ankle_boots/7842900.22254.jpg,0
../data/clothing2/train/black_blazer/black_blazer177.jpg,../data/shoes/test/ankle_boots/8098557.278.jpg,0
../data/clothing2/train/black_blazer/black_blazer177.jpg,../data/shoes/train/ankle_boots/8072029.401.jpg,1
../data/clothing2/train/black_blazer/black_blazer163.jpg,../data/shoes/validate/ankle_boots/7276203.3.jpg,0
../data/clothing2/train/black_blazer/black_blazer163.jpg,../data/shoes/test/ankle_boots/7987318.6.jpg,0
../data/clothing2/train/black_blazer/black_blazer163.jpg,../data/shoes/train/ankle_boots/8103920.388307.jpg,0
../data/clothing2/train/black_blazer/black_blazer163.jpg,../data/shoes/test/ankle_boots/7821545.301567.jpg,0
../data/clothing2/train/black_blazer/black_blazer163.jpg,../data/shoes/test/ankle_boots/8024626.24543.jpg,0
../data/clothing2/train/black_blazer/black_blazer163.jpg,../data/shoes/train/ankle_boots/7992221.3.jpg,1
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/train/ankle_boots/8025442.18.jpg,0
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/train/ankle_boots/8015460.42101.jpg,0
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/train/ankle_boots/7692683.1423.jpg,0
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/train/ankle_boots/7821545.248971.jpg,0
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/train/ankle_boots/7813563.3.jpg,0
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/train/ankle_boots/8027016.343.jpg,0
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/test/ankle_boots/8041972.376734.jpg,0
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/train/ankle_boots/8018485.4854.jpg,0
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/train/ankle_boots/7575257.6.jpg,0
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/train/ankle_boots/7993323.20.jpg,0
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/train/ankle_boots/8041795.42313.jpg,0
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/train/ankle_boots/8019986.20.jpg,0
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/train/ankle_boots/8035535.374812.jpg,0
../data/clothing2/train/black_blazer/black_blazer149.jpg,../data/shoes/train/ankle_boots/8030296.3.jpg,1
../data/clothing2/train/black_blazer/black_blazer161.jpg,../data/shoes/test/ankle_boots/7201307.139.jpg,0
